AF, dropout_rate, learning_rate, n_hidden, loss
leaky_relu, 0.28, 0.04, 128 32, 0.743721842766
celu, 0.2, 0.065, 128 96 32 64, 0.704213261604
softplus, 0.45, 0.02, 64 32 128 96, 1.18210947514
log_sigmoid, 0.26, 0.025, 32 64 128, 1.06185507774
sigmoid, 0.0, 0.04, 64 32 96 128, 1.18454027176
log_sigmoid, 0.07, 0.095, 96 128 32 64, 1.01557445526
leaky_relu, 0.27, 0.065, 96 32 64, 0.79303842783
sigmoid, 0.02, 0.06, 128 32 64 96, 1.18456852436
gelu, 0.38, 0.045, 32 64 128 96, 1.12178897858
tanh, 0.49, 0.005, 64 32 128 96, 1.18531882763
leaky_relu, 0.3, 0.055, 128, 0.562930703163
sigmoid, 0.2, 0.1, 96 128, 1.01607811451
tanh, 0.39, 0.075, 64 96 128 32, 0.892140507698
relu, 0.38, 0.03, 32 64 96, 1.03511333466
log_sigmoid, 0.09, 0.09, 96 64 32 128, 0.9131295681
log_sigmoid, 0.02, 0.035, 32 128 64, 0.985683381557
selu, 0.47, 0.075, 64 96, 0.705888867378
tanh, 0.05, 0.025, 96 32, 0.7117831707
log_sigmoid, 0.46, 0.02, 32 64 96, 1.16818726063
selu, 0.31, 0.08, 32 96 64, 0.754800796509
celu, 0.15, 0.05, 64 32 128, 0.73520553112
leaky_relu, 0.37, 0.055, 128, 0.574277102947
softplus, 0.22, 0.06, 32 96 64 128, 1.17130804062
tanh, 0.48, 0.045, 32 128 64 96, 1.03664779663
celu, 0.23, 0.075, 128 32 96, 0.671092867851
softplus, 0.33, 0.05, 32 64 96, 0.898587763309
leaky_relu, 0.15, 0.08, 32 96 128 64, 0.883897185326
selu, 0.16, 0.075, 128 32 64 96, 0.649689495564
log_sigmoid, 0.28, 0.045, 32 128 64, 0.9711561203
gelu, 0.24, 0.035, 128 64, 0.706011593342
leaky_relu, 0.0, 0.045, 64 128, 0.570835351944
relu, 0.05, 0.05, 128 64 96 32, 0.935929358006
gelu, 0.35, 0.08, 32 128, 0.645902812481
sigmoid, 0.09, 0.005, 96 32 64 128, 1.18605303764
gelu, 0.31, 0.055, 128 32 96, 0.858432888985
gelu, 0.17, 0.025, 32 96 128 64, 1.18069076538
relu6, 0.1, 0.07, 64 32 128 96, 0.78668576479
log_sigmoid, 0.01, 0.095, 96 128 32 64, 1.05906653404
relu, 0.03, 0.06, 128 32, 0.553904235363
relu, 0.04, 0.065, 32 128, 0.588421285152
relu, 0.19, 0.05, 32, 0.63339138031
relu6, 0.39, 0.035, 32 128 96 64, 1.16760146618
relu6, 0.09, 0.02, 32 96 128 64, 1.17505037785
relu6, 0.14, 0.06, 32 96 64, 0.725431859493
leaky_relu, 0.1, 0.09, 96 128 32, 0.616685211658
celu, 0.33, 0.095, 128 64 96 32, 0.714075028896
relu6, 0.08, 0.045, 96 32, 0.658959031105
sigmoid, 0.42, 0.06, 128 64 96 32, 1.17904675007
gelu, 0.21, 0.02, 32 96 64 128, 1.17777895927
relu, 0.12, 0.015, 96 128 32 64, 1.17025017738
relu6, 0.2, 0.005, 128 96 32, 1.1615499258
relu6, 0.47, 0.08, 32 128 64 96, 0.915432870388
log_sigmoid, 0.38, 0.02, 96 128 32 64, 1.18118226528
selu, 0.34, 0.095, 32 64, 0.666642904282
tanh, 0.1, 0.005, 128 64 32, 1.10129237175
relu, 0.26, 0.045, 32 128, 0.696984231472
selu, 0.02, 0.05, 96 128 32, 0.62561839819
log_sigmoid, 0.39, 0.09, 96 128, 0.626251399517
sigmoid, 0.28, 0.035, 32 128 96, 1.18593728542
relu, 0.22, 0.025, 32 128 96 64, 1.11652195454
leaky_relu, 0.42, 0.085, 128 96 32 64, 0.9239590168
softplus, 0.33, 0.055, 64 96, 0.694578528404
relu6, 0.13, 0.015, 32 128, 0.943431377411
relu6, 0.05, 0.08, 32 96 128 64, 0.733761489391
selu, 0.29, 0.06, 64 96, 0.684833645821
relu, 0.44, 0.02, 32 64, 0.974061965942
selu, 0.25, 0.045, 64 128 96 32, 0.729522645473
relu, 0.36, 0.02, 128 64 96, 1.06292009354
relu, 0.13, 0.1, 96 128, 0.501055657864
tanh, 0.09, 0.06, 128 32 96, 0.718902826309
softplus, 0.43, 0.055, 32 96 128 64, 1.17655611038
celu, 0.25, 0.06, 32 96, 0.645622491837
tanh, 0.49, 0.045, 96 128, 0.819471180439
selu, 0.38, 0.1, 64 128 96, 0.705322146416
gelu, 0.44, 0.05, 64 96, 0.709051609039
tanh, 0.42, 0.07, 128 32 64, 0.860513091087
leaky_relu, 0.01, 0.015, 32 64 128 96, 1.17010724545
sigmoid, 0.21, 0.01, 128 64, 1.18270111084
leaky_relu, 0.01, 0.09, 128 96 32 64, 0.630941390991
celu, 0.17, 0.065, 32 96 64, 0.639832735062
relu, 0.43, 0.05, 64 32 128, 0.878119111061
softplus, 0.17, 0.03, 64 96 32 128, 1.18331503868
sigmoid, 0.17, 0.08, 64 32 96, 1.18508279324
celu, 0.32, 0.09, 96, 0.585985124111
