Learning Rate, Activation Function, Weight Decay, Hidden Layers, Validation Error
0.0015133313421, leaky_relu, 0.00852910230812, 32 128 96, 0.641666054726
0.227053089146, relu, 0.000249462710623, 96 128 32 64, 1.06031239033
0.390360438907, relu, 0.00590597102054, 128 32 64, 1.05907833576
0.000143508859287, leaky_relu, 0.00149950897822, 96 32 128, 0.684194982052
0.000815097418832, relu, 0.000750501197078, 128 32 96 64, 0.687354624271
0.00208626984079, leaky_relu, 0.00107009134619, 96 128 32, 0.661758840084
0.000701067226422, leaky_relu, 0.00267945405542, 128 64 96 32, 0.618718802929
0.440532070245, relu, 0.00620761312332, 128 32 96, 1.04564416409
0.000427476922799, leaky_relu, 0.03670994984, 128 32 96 64, 1.02401864529
0.0185998584762, leaky_relu, 0.000190953803176, 128 96 32, 0.636215507984
0.00208368606689, leaky_relu, 0.0918525813976, 128 32, 0.935625493526
0.350701432614, relu, 3.53464445392e-05, 64 32, 1.0063778162
0.000991666728224, leaky_relu, 0.0522818939969, 128 32 64 96, 0.998008906841
0.0316135388578, leaky_relu, 2.200809479e-05, 128 96 32 64, 0.868029177189
0.00243235264384, relu, 2.28393897786e-05, 96 128 32, 0.839029729366
0.000130268648246, leaky_relu, 0.00210197563493, 32 96 128 64, 0.661152005196
0.000130179970619, relu, 0.000427512964847, 96 128 32, 0.672274172306
0.000473331407099, leaky_relu, 0.0650007051453, 128 32 64, 0.994725346565
0.0446436169841, leaky_relu, 1.2691904882e-05, 64 96 32 128, 0.957058608532
0.000409106394712, relu, 0.0143076462865, 128 64, 0.620118379593
0.167017490767, relu, 0.00193721741346, 32 96, 0.81180781126
0.000404373916225, relu, 0.0221788647116, 64 32, 0.630727946758
0.109146089407, relu, 2.9654988113e-05, 96 32 128, 1.26545953751
0.618640583745, relu, 5.12184075053e-05, 64 96 128 32, 1.01987946033
0.384426858567, relu, 0.000939678268506, 128 32 96, 1.05126309395
0.112678614226, relu, 1.98341998075e-05, 32 64, 0.985964655876
0.00169534244973, relu, 0.00163415455995, 64 128 96, 0.695336043835
0.00719051999439, relu, 5.51291398366e-05, 96 128 64 32, 0.725786447525
0.0106756610969, leaky_relu, 7.57709614992e-05, 96 32 128, 0.717546582222
0.000127202532703, relu, 0.0369506606287, 32 96, 0.708394110203
0.000841719718173, relu, 0.000251521682387, 128 64 96 32, 0.674854815006
0.524871572256, leaky_relu, 0.000386676925488, 32 128 96 64, 331.490264893
0.394002623429, relu, 0.0364646161745, 128 32, 0.699363470078
0.0647554060952, leaky_relu, 0.0434894909496, 32 64 128, 0.998557269573
0.000252446579884, relu, 7.00958129651e-05, 128 96 64 32, 0.64971190691
0.00703503371643, leaky_relu, 0.000114613381782, 128 32 96, 0.72032558918
0.284696969948, relu, 0.00612997399367, 32 96 128, 1.01279771328
0.000231733608806, relu, 0.000157743864232, 96 32 64 128, 0.701987326145
0.000392784377979, relu, 0.0467612138167, 64 32 96 128, 0.993154466152
0.0554116627965, relu, 0.00112493293051, 128 96 32, 0.713859438896
0.0002016387216, relu, 2.89484925244e-05, 32 64 128, 0.780869841576
0.000378818667772, relu, 0.000539256729378, 32 64 128, 0.743427276611
0.016894022124, leaky_relu, 3.07298280532e-05, 64 96 128, 0.726139545441
0.00652582801399, relu, 0.00107357499933, 96 32 128, 0.697537720203
0.296477769417, leaky_relu, 0.00352679039134, 96 64, 3.47806382179
0.0074483804113, leaky_relu, 0.0150556340212, 96 64 128 32, 1.00370597839
0.252812980457, relu, 0.0173971075958, 96 128, 0.76363414526
0.00391399250659, leaky_relu, 0.0898150592613, 128 96, 0.99745285511
0.978089347088, leaky_relu, 3.45265454577e-05, 128 96 64 32, 7.55777929216e+13
0.000264122447836, leaky_relu, 0.000129231532384, 128 96 32, 0.68724501133
0.0637695854213, relu, 0.00287560362885, 32 64, 0.723441779613
0.404531000626, relu, 1.28682138865e-05, 96 64 128 32, 1.04289937019
0.000721220488958, leaky_relu, 0.000157902205214, 64 96 128 32, 0.760780870914
0.40337598629, leaky_relu, 0.000449582067896, 64, 0.819210469723
0.286476757651, leaky_relu, 8.67170611035e-05, 32 64 96 128, 477.735534668
0.000854313229898, relu, 0.000983875279068, 128 96 32, 0.699427604675
0.0940276034596, leaky_relu, 0.00193313630273, 96 32 128 64, 0.83489638567
0.000263620872681, relu, 0.075318929765, 32 128 64 96, 0.995294690132
0.261075266353, relu, 0.000182635992162, 96, 0.774550795555
0.0319347846206, leaky_relu, 0.000185463214196, 64 96 32 128, 0.777840077877
0.0851051299405, relu, 4.18971568242e-05, 128, 1.49196219444
0.000982864207353, relu, 0.0360120075309, 64 96 32, 0.998612344265
0.00488220934273, leaky_relu, 0.000249353308351, 128 32 96, 0.74140805006
0.000400636225132, relu, 0.00144495341085, 128 64 96 32, 0.667422831059
0.00109090465119, leaky_relu, 0.00131951897431, 32 96 64, 0.75456058979
0.000355581077989, relu, 0.0268190184749, 128 64 32, 0.744621932507
0.598324072556, leaky_relu, 0.00869915110467, 96 128 32, 2398.61450195
0.00184371871417, leaky_relu, 0.0931808955625, 96 32 128, 0.997302234173
0.000441057980971, relu, 0.0110999121246, 96 128 32 64, 0.72032481432
0.000111897765358, leaky_relu, 0.038520339813, 96 128 64, 0.808747589588
0.0731021881876, leaky_relu, 0.00208715096337, 96 64 128, 0.775890469551
0.00263476043673, leaky_relu, 3.78537990681e-05, 96 128 32 64, 0.775209844112
0.212819601759, relu, 0.000646327290274, 128 96 64, 1.00497436523
0.67926751737, leaky_relu, 0.00154944971202, 64 96 128 32, 948836.8125
0.0163791020744, leaky_relu, 0.0113895076819, 64 128 32, 0.641821801662
0.0510378931847, leaky_relu, 1.30100428341e-05, 32 128 96, 1.04936921597
0.00433601037685, leaky_relu, 0.0152767411173, 64 96, 0.602280080318
