Learning Rate, Activation Function, Weight Decay, Hidden Layers, Dropout Rate, Validation Error
0.289169820117, leaky_relu, 0.00292692192422, 96 64 32, 0.017550569433, 1.50226390362
0.0145724556716, tanh, 0.00445020974016, 64 32 128 96, 0.852805151918, 8.11244010925
0.0141634579238, leaky_relu, 0.000884483247603, 128 96 32 64, 0.605445120121, 0.736066877842
0.0113010654756, tanh, 0.00233313269271, 64 128 32 96, 0.997640097216, 0.975405395031
0.286684895173, relu, 0.00406799455714, 96 128, 0.834497766489, 0.985376417637
0.00288219630392, leaky_relu, 0.00190371071592, 128 32 96, 0.576079889023, 0.673576772213
0.0179327378331, leaky_relu, 0.00121577585239, 96 64, 0.491334012438, 0.679124712944
0.00354936795694, tanh, 0.00646084779883, 64, 0.513601105367, 0.661931455135
0.000217711417408, relu, 0.000307450153322, 128 96 32 64, 0.782207764234, 0.953770339489
0.075633915554, leaky_relu, 4.07640580561e-05, 96 128 32, 0.838814852127, 122.303375244
0.00479204701276, leaky_relu, 0.0405303658953, 96 128 64, 0.499241694755, 0.977587282658
0.00167833895421, relu, 2.75608627335e-05, 64 128 32 96, 0.21923094861, 0.663316845894
0.884609131632, tanh, 0.0715423347474, 32 96, 0.0900963556273, 0.755486249924
0.00320625186697, tanh, 0.00289577628307, 128 32 64 96, 0.950599456495, 0.980001688004
0.0100084903696, tanh, 0.000401242225807, 128 96 64 32, 0.920687967465, 0.936132013798
0.00126458646566, relu, 4.2465490405e-05, 64 96 32 128, 0.847251231165, 0.973202526569
0.0134571708288, relu, 0.000606703162133, 128 64 96, 0.878101159714, 0.974791824818
0.116198848343, relu, 0.000411056765915, 64, 0.921612050671, 2.00080633163
0.0807049418198, leaky_relu, 0.00609892983089, 128 64 32 96, 0.941488681559, 170.930419922
0.0207849526501, tanh, 0.00332109979935, 96 32 128, 0.403157700671, 0.734111368656
0.000451370204521, leaky_relu, 0.00801887142954, 64 96 128 32, 0.805892391787, 0.979091763496
0.000588833545555, tanh, 0.0465286895514, 32 128 96 64, 0.766867598686, 0.976342141628
0.0114334519727, relu, 0.000100383765594, 128 64 32, 0.739509544759, 0.919472813606
0.00241048525493, tanh, 0.0152322822533, 32 96 64 128, 0.0791771778648, 0.65096694231
0.00110143177019, relu, 0.00152700219022, 128 32, 0.857871220397, 0.808770120144
0.159522611846, tanh, 0.0545491310677, 128 96 32, 0.638046989623, 0.791163980961
0.0342638301426, tanh, 0.000146130524454, 128, 0.273324405393, 0.835957467556
0.000120983650123, tanh, 0.00375110997652, 96 128 64, 0.718181789552, 0.79291087389
