Learning Rate, Activation Function, Weight Decay, Hidden Layers, Dropout Rate, Validation Error
0.241056183129, leaky_relu, 0.00287369796334, 96 128 64 32, 0.635232940141, 184048656.0
0.00113720047771, sigmoid, 0.0280289760413, 64 128 32, 0.999359538191, 0.97947627306
0.00788307674662, sigmoid, 0.0427004855698, 64 128 96 32, 0.382941531438, 0.980018019676
0.00117008997968, relu, 1.36016783729e-05, 64 128 32 96, 0.942603707964, 0.974834740162
0.00170000560978, relu, 4.4973300004e-05, 128 64 32, 0.31333332724, 0.615681350231
0.126134761039, tanh, 0.00336339588506, 128 64 96, 0.534900006728, 1.37310147285
0.527437915999, sigmoid, 0.000250408820723, 128 32, 0.99519331977, 1.00772833824
0.00046801431589, tanh, 0.000184611968621, 96 128 64 32, 0.588067012975, 1.004555583
0.00365086336912, leaky_relu, 0.000144391372444, 64 128 32, 0.905572500589, 0.890978872776
0.00127335617976, sigmoid, 0.0061280867068, 128 64 96 32, 0.129777482707, 0.980747818947
0.0160115168792, leaky_relu, 0.000868731215001, 64 32 96 128, 0.299413418605, 0.582276761532
0.041965866405, relu, 4.47881454965e-05, 96 128 32 64, 0.201257513578, 0.779040634632
0.00484975502682, sigmoid, 2.15092390235e-05, 96, 0.685570065347, 1.05526828766
0.00116866038568, sigmoid, 0.000103834725384, 32 64 96, 0.0230030042843, 0.710817217827
0.000354508267955, relu, 0.000162085493522, 128 64 96 32, 0.0475254800487, 0.672984838486
0.10021075665, sigmoid, 0.00016861226916, 32 96 64 128, 0.723738410728, 0.976985812187
0.11250887076, tanh, 3.3113209632e-05, 64 32, 0.1035965504, 0.754255115986
0.0164529822844, sigmoid, 2.70134528182e-05, 128 96 64 32, 0.978260624033, 0.966425895691
0.0213285612534, relu, 1.61725183168e-05, 64 128 32 96, 0.137801780751, 0.558279931545
0.279088022832, leaky_relu, 1.12196340083e-05, 96 32 64, 0.412114454825, 6161733.0
0.0373611986489, leaky_relu, 3.82696125885e-05, 64 96 32 128, 0.0935480786538, 0.719398677349
0.593312657632, sigmoid, 0.0675505884294, 64 128 96 32, 0.746964579862, 0.979569971561
0.435549282276, leaky_relu, 0.045004758861, 32 96 128, 0.835972827084, 843722432.0
0.0041565384785, relu, 1.98713412367e-05, 32 64, 0.559905512462, 0.696362137794
